Id;Nome;Endereço;Telefone;Email;CPF;Data de Nascimento
000;Enrico Rodrigues;"Loteamento Martins
Novo Tupi
73792-857 Nunes de Porto / PI";(071) 3734-8395;heloisa68@example.net;190.548.376-75;1962-12-09
001;Sra. Isabel Cardoso;"Viela Pinto, 8
Nova Granada
42990-383 Cardoso / MT";11 4358 5093;limajoao-lucas@example.org;216.093.587-59;1985-10-13
002;Valentina Ramos;"Viela de Gonçalves
Nova Esperança
46702889 Monteiro de Sales / MS";+55 (031) 4062 1705;nathancastro@example.net;451.376.892-46;1996-12-30
003;Nicolas Cavalcanti;"Quadra Rezende, 81
Vila Independencia 3ª Seção
03407-412 Aragão dos Dourados / CE";(011) 9032 6920;ana-luizateixeira@example.com;057.284.193-05;1964-02-03
004;Carlos Eduardo Teixeira;"Distrito de Lopes, 20
Novo Santa Cecilia
33021-932 Novaes da Praia / PE";(084) 2626 0264;fcavalcanti@example.com;035.481.267-07;1949-08-29
005;Emanuel Ribeiro;"Favela Monteiro, 5
Coqueiros
88821-399 das Neves / MG";(084) 8150-4122;klima@example.net;271.398.605-21;1955-12-04
006;Dra. Clara Alves;"Chácara de Oliveira
Madri
24483-827 Costa das Flores / SE";(051) 0542-6201;mfarias@example.org;249.635.817-28;1945-02-19
007;Juan Santos;"Feira Novaes, 415
Bacurau
77366-746 Ferreira / SC";+55 (031) 1692-4175;oliveirapedro@example.com;428.305.169-15;1956-10-04
008;Maysa Nascimento;"Chácara de Vieira, 51
Antonio Ribeiro De Abreu 1ª Seção
04673063 Oliveira / RS";+55 (061) 6941-7765;matheus99@example.com;581.730.624-71;1993-12-07
009;Pedro Lucas Pinto;"Aeroporto de Campos, 4
Nossa Senhora Aparecida
80721-703 Silva Grande / MG";(051) 2820-5903;sabrinaazevedo@example.net;534.072.869-29;1968-02-27
0010;Felipe Duarte;"Conjunto Davi Lucas Pinto, 6
Bela Vitoria
00750411 Lima / AM";71 1729 7919;ramoseloah@example.org;702.981.563-77;1943-08-01
0011;Amanda Peixoto;"Via da Rocha, 92
Conjunto Jatoba
30675-465 da Luz / AM";41 9050-9321;enzo-gabriel12@example.org;395.417.208-97;1984-02-24
0012;Fernando Freitas;"Rua Raul Aragão, 19
Vila Puc
10831-737 Cardoso / AM";+55 41 4418 8286;oliveiradaniel@example.com;086.934.521-42;1980-11-21
0013;Laís Lopes;"Viela de Lopes
São José
55960202 Cunha / AM";0300-335-5522;aalmeida@example.net;035.891.647-00;1997-02-06
0014;Lorenzo Monteiro;"Distrito Daniel Lima, 98
São João
93558-596 Sales da Prata / SP";(031) 7588-2245;piresbenjamin@example.com;412.639.875-91;1989-08-15
0015;Thomas Rezende;"Chácara de Silva, 52
Pilar
05946-459 Rezende / PI";(031) 8178 3303;da-luzandre@example.com;439.781.260-87;2006-01-24
0016;Isadora Sales;"Lago Isis Gomes, 89
Marçola
65089191 Oliveira do Amparo / AM";(021) 4919-4969;ybarbosa@example.com;182.463.507-90;1960-02-10
0017;Helena da Rosa;"Condomínio Luigi Pires, 6
Santana Do Cafezal
47031-560 Moraes do Campo / MG";(051) 1917-9158;wnogueira@example.com;167.809.235-59;1956-08-04
0018;Mariana Farias;"Via Daniela Dias, 41
Bairro Das Indústrias Ii
32781-516 Moreira / AC";(031) 0896 2069;lucca96@example.com;756.849.203-65;1951-08-21
0019;Laura Fogaça;"Distrito Alves, 652
Vila Do Pombal
02439815 Farias Verde / MA";+55 51 9019 8785;felipedias@example.org;482.796.531-55;1999-08-26
0020;Giovanna da Rocha;"Estrada Erick Alves, 576
Solar Do Barreiro
57176115 Santos / AM";0900 431 9967;enzoduarte@example.com;672.815.493-00;1947-12-07
0021;Sra. Isabella Monteiro;"Rua Ana Moreira, 823
Vila Cemig
21527343 Lima de Goiás / PA";(021) 1968-9228;bda-cruz@example.org;496.187.205-94;1978-10-07
0022;Ana Freitas;"Esplanada de Santos
Itapoa
94726-920 Moreira / MT";(061) 7983 1720;carvalhorenan@example.net;326.594.781-55;2004-07-09
0023;Pedro Lucas da Cruz;"Avenida Fernandes, 367
Vila Bandeirantes
51354-634 Moreira de Rodrigues / AP";+55 71 6393-9732;rodrigo80@example.org;456.189.720-85;1947-04-15
0024;Davi Lucca Jesus;"Recanto Nathan da Costa, 40
Grotinha
69481-738 Nunes da Praia / AL";0800 306 8971;moraespedro@example.org;581.740.329-32;1967-07-06
0025;Emanuel Nascimento;"Distrito Emanuelly Ramos, 11
Boa Viagem
95725757 Alves / PE";(081) 3962 9820;maria-julia45@example.net;612.798.354-19;1973-12-28
0026;Elisa Cunha;"Residencial Yago das Neves, 7
Providencia
98831397 Moraes / RJ";+55 (061) 3701 5748;camposana-carolina@example.com;435.702.619-99;1993-12-10
0027;Fernanda Porto;"Lagoa de Nunes, 22
Graça
00083-001 Mendes / PE";(041) 0447-6053;kevinmonteiro@example.net;364.798.015-39;1953-08-10
0028;Sra. Ana Julia da Mota;"Travessa de Gonçalves
São Damião
63462-309 Ferreira do Amparo / RJ";+55 61 3709 1164;natalia83@example.org;179.456.203-61;1944-11-02
0029;Melissa Gomes;"Colônia Olivia Pereira, 9
Cônego Pinheiro 2ª Seção
53538769 Silveira da Prata / AM";+55 31 9595 7678;vitor-hugoazevedo@example.net;125.493.067-16;1999-03-07
0030;Larissa Almeida;"Vereda Eduarda Rezende, 7
Cardoso
48345-872 Moura / SE";(061) 0778 5037;da-rochamarcos-vinicius@example.net;908.623.157-86;1959-05-12
0031;Pietra da Rosa;"Favela Fernanda Martins, 2
Mangabeiras
38034-298 Nogueira de Goiás / MT";+55 (021) 8100-2496;joao-pedroduarte@example.org;905.741.836-39;1988-10-17
